Course,Semester,Time Block,Time Range,Monday,Tuesday,Wednesday,Thursday,Friday
ENGENHARIA DE COMPUTAÇÃO,2025.1,M1,07:00-07:50,SIS DIG II MARY KARLLA - A SALA 10 LAB DIG,SIS DIG II MARY KARLLA - B SALA 10 LAB DIG,SIS DIG II MARY KARLLA - A SALA 10 LAB DIG,SIS DIG II MARY KARLLA - B SALA 10 LAB DIG,
ENGENHARIA DE COMPUTAÇÃO,2025.1,M2,07:50-08:40,SIS DIG II MARY KARLLA - A SALA 10 LAB DIG,SIS DIG II MARY KARLLA - B SALA 10 LAB DIG,SIS DIG II MARY KARLLA - A SALA 10 LAB DIG,SIS DIG II MARY KARLLA - B SALA 10 LAB DIG,
ENGENHARIA DE COMPUTAÇÃO,2025.1,M3,08:40-09:30,CÁLCULO 1 SONILDO - U SALA 10,LEIT PROD TEX VALQUIRIA SOUZ - U SALA 10,EST DADOS VICTOR ANDRE - U SALA 09,LAB EST DADOS VICTOR ANDRE - U LAB INF 01,
ENGENHARIA DE COMPUTAÇÃO,2025.1,M4,09:50-10:40,CÁLCULO 1 SONILDO - U SALA 10,LEIT PROD TEX VALQUIRIA SOUZ - U SALA 10,EST DADOS VICTOR ANDRE - U SALA 09,LAB EST DADOS VICTOR ANDRE - U LAB INF 01,
ENGENHARIA DE COMPUTAÇÃO,2025.1,M5,10:40-11:30,CÁLCULO 1 SONILDO - U SALA 10,EST DADOS VICTOR ANDRE - U SALA 09,LAB EST DADOS VICTOR ANDRE - U LAB INF 01,,
ENGENHARIA DE COMPUTAÇÃO,2025.1,M6,11:30-12:20,CÁLCULO 1 SONILDO - U SALA 10,EST DADOS VICTOR ANDRE - U SALA 09,LAB EST DADOS VICTOR ANDRE - U LAB INF 01,,
ENGENHARIA DE COMPUTAÇÃO,2025.1,T1,13:00-13:30,EST APLIC COMP IGOR COSTA - X SALA 08,EDUC AMBIENTAL RACHEL SOUZA - X SALA 10,,,
ENGENHARIA DE COMPUTAÇÃO,2025.1,T2,13:50-14:40,EST APLIC COMP IGOR COSTA - X SALA 08,EDUC AMBIENTAL RACHEL SOUZA - X SALA 10,,,
ENGENHARIA DE COMPUTAÇÃO,2025.1,T3,14:40-15:30,EST APLIC COMP IGOR COSTA - X SALA 08,,,,
ENGENHARIA DE COMPUTAÇÃO,2025.1,T4,15:50-16:40,EST APLIC COMP IGOR COSTA - X SALA 08,,,,
ENGENHARIA DE COMPUTAÇÃO,2025.1,T5,16:40-17:30,,,,,
ENGENHARIA DE COMPUTAÇÃO,2025.1,T6,17:30-18:20,,,,,
