ISBN,Título,Autor,Editora,Ano,Páginas,Disciplina,Capa,Qtd_Exemplares,Avaliação,Empréstimos
9781119366188,Reframing Organizations,Lee G. Bolman,"Wiley & Sons, Incorporated, John",2017,0,Administração e Gestão,,9,4.8,74
9782081213012,L'art de la Guerre,"孙武, Sun Tzu ",Champs essais,2008,354,Administração e Gestão,,6,3.5,96
9780553212785,The Prince,Niccolò Machiavelli,"Bantam Dell, Random House",January 2003,176,Administração e Gestão,https://covers.openlibrary.org/b/id/14850533-L.jpg,4,4.2,58
9780256099621,Reconfigurable Processor Array A Bit Sliced Parallel Computer (USA),A. Rushton,Irwin,N/A,144,Administração e Gestão,,6,4.2,67
9798450782676,Book of the Five Rings,"Miyamoto Musashi, William Scott Wilson, Kenji Tokitsu, Brian Nishii, jose manquel, Karlo Toreles",Independently Published,2021,0,Administração e Gestão,,5,4.5,14
9780133156843,Management Information Systems Managing the Digital Firm,"Kenneth C. Laudon, Jane P. Laudon, Jane Price Laudon, Jane Laudon",Pearson Canada,"Oct 31, 2014",0,Administração e Gestão,https://covers.openlibrary.org/b/id/10499965-L.jpg,3,4.1,2
9780688151263,Reinventing Leadership,Warren G. Bennis,Harper Paperbacks,"April 2, 1997",208,Administração e Gestão,https://covers.openlibrary.org/b/id/431747-L.jpg,1,4.3,89
9781780937939,Anatomy of a Professionalization Project,Charlotte Woods,Bloomsbury Publishing Plc,2014,0,Administração e Gestão,,4,3.9,36
9783709105436,A Nonparametric Approach to Perceptions-Based Market Segmentation,"Josef A Mazanec, Josef A. Mazanec, Helmut Strasser",N/A,2000,0,Administração e Gestão,,7,4.3,59
9780966428612,Managing change in the workplace,"Ralph L. Kliem, Irwin S. Ludin",HNB Pub.,1998,139,Administração e Gestão,https://covers.openlibrary.org/b/id/1699949-L.jpg,9,3.9,92
9781134016211,"EWork and EBusiness in Architecture, Engineering and Construction","Manuel Martinez, Raimar Scherer",Taylor & Francis Group,2008,0,Administração e Gestão,,2,3.7,88
9781593117856,Critical theory for business and public administration,David M. Boje,Information Age Pub.,2008,393,Administração e Gestão,,1,4.9,49
9781351126854,Management Laureates,Arthur G. Bedeian,Taylor & Francis Group,2018,324,Administração e Gestão,,8,4.9,37
9780080942360,Practice of Management,Peter F. Drucker,Taylor & Francis Group,2012,0,Administração e Gestão,,8,3.7,16
